dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
MedicalImages,912,1,99,10,5,0.038,catch22,0.33221153846153845,0.22369689628004552,0.777292576419214
MedicalImages,912,1,99,10,5,0.038,rocket,0.4266666666666667,0.2499432034248413,0.8122270742358079
MedicalImages,912,1,99,10,6,0.021,lstm,0.6192696629213484,0.21437137072211773,0.6943231441048034
MedicalImages,912,1,99,10,6,0.021,catch22,0.5551052631578948,0.185054016221393,0.777292576419214
MedicalImages,912,1,99,10,6,0.021,rocket,0.5025603864734299,0.16727054360906146,0.8122270742358079
MedicalImages,912,1,99,10,7,0.044,lstm,0.5217073170731708,0.24172048400060106,0.6943231441048034
MedicalImages,912,1,99,10,7,0.044,catch22,0.3855670103092783,0.2775740602284016,0.777292576419214
MedicalImages,912,1,99,10,7,0.044,rocket,0.3810344827586207,0.22352574221245528,0.8122270742358079
MedicalImages,912,1,99,10,8,0.021,lstm,0.0,0.0,0.6943231441048034
MedicalImages,912,1,99,10,8,0.021,catch22,0.3652054794520548,0.16852388627119957,0.777292576419214
MedicalImages,912,1,99,10,8,0.021,rocket,0.4290677966101695,0.24694055857921812,0.8122270742358079
MedicalImages,912,1,99,10,9,0.1,lstm,0.6212500000000001,0.07253232038202002,0.6943231441048034
MedicalImages,912,1,99,10,9,0.1,catch22,0.45999999999999996,0.16735498889394457,0.777292576419214
MedicalImages,912,1,99,10,9,0.1,rocket,0.5102941176470588,0.18807828930148848,0.8122270742358079
Colposcopy,160,1,180,6,0,0.087,lstm,0.0,0.0,0.45
Colposcopy,160,1,180,6,0,0.087,catch22,0.0,0.0,0.425
Colposcopy,160,1,180,6,0,0.087,rocket,0.0,0.0,0.3
Colposcopy,160,1,180,6,1,0.119,lstm,0.0,0.0,0.45
Colposcopy,160,1,180,6,1,0.119,catch22,0.0,0.0,0.425
Colposcopy,160,1,180,6,1,0.119,rocket,0.0,0.0,0.3
Colposcopy,160,1,180,6,2,0.106,lstm,0.0,0.0,0.45
Colposcopy,160,1,180,6,2,0.106,catch22,0.274,0.3481723711037394,0.425
Colposcopy,160,1,180,6,2,0.106,rocket,0.0,0.0,0.3
Colposcopy,160,1,180,6,3,0.25,lstm,0.0,0.0,0.45
Colposcopy,160,1,180,6,3,0.25,catch22,0.0,0.0,0.425
Colposcopy,160,1,180,6,3,0.25,rocket,0.0,0.0,0.3
Colposcopy,160,1,180,6,4,0.156,lstm,0.0,0.0,0.45
Colposcopy,160,1,180,6,4,0.156,catch22,0.7849999999999999,0.05499999999999999,0.425
Colposcopy,160,1,180,6,4,0.156,rocket,0.32,0.0,0.3
