LSTM Mean,LSTM Std,LSTM Acc,Catch22 Mean,Catch22 Std,Catch22 Acc,ROCKET Mean,ROCKET Std,ROCKET Acc
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
0.5050088028169014,0.11466000040327355,0.9964788732394366,0.47511049531262484,0.15097519408402696,0.9788732394366196,0.5081073943661972,0.07190327387767308,1.0
0.07166666666666667,0.027325202042558918,0.45,0.1895,0.0782206187896507,0.425,0.165,0.02869862559620427,0.3
0.52,0.0810396183258945,0.85,0.475,0.14452965980870902,0.8,0.52,0.1247877883066033,0.95
0.4152942652420285,0.12763864712927003,0.9559999999999998,0.3105501976284585,0.11775225429855804,0.9480000000000001,0.420023347480753,0.14016706130783246,0.9629999999999999
0.5005059523809524,0.026039677735776163,0.7773584905660377,0.5625132238732954,0.16260793705544377,0.9056603773584907,0.30035714285714293,0.23083449092264838,0.7886792452830189
0.15008374666165158,0.08895917635789659,0.2620689655172414,0.35239928026165074,0.22442472240964026,0.786206896551724,0.4462067202053424,0.1991539913115166,0.889655172413793
0.0872179487179487,0.06894978187394814,0.2068965517241379,0.33803955159922555,0.2339931388637182,0.6620689655172413,0.45523632022616406,0.1775126147717937,0.8275862068965517
0.0,0.0,0.55,0.47000000000000003,0.17386084078476874,0.65,0.52,0.10630145812734645,0.5
0.49721536796536797,0.18170689497994175,0.7636363636363637,0.4397179841897233,0.16813003407162708,0.9818181818181818,0.46132394169789126,0.1591631073608693,0.9818181818181818
0.2540595238095238,0.24315083501933246,0.2553191489361702,0.08166666666666665,0.04124789556921527,0.3191489361702128,0.45180555555555557,0.14277484002373744,0.3829787234042553
0.0,0.0,0.6097560975609756,0.4486363636363636,0.1007941050580799,0.6951219512195121,0.52,0.1829692170147754,0.6463414634146342
0.4179530317141019,0.15585554549532737,0.6943231441048034,0.4369442064968834,0.22294213246861988,0.777292576419214,0.4704455544456394,0.22649973956143338,0.812227074235808
0.3466666666666666,0.075904224172081,0.3658536585365853,0.482520325203252,0.16311650572180614,1.0,0.42552845528455285,0.056734079517627135,1.0
0.52,0.1434630868340376,0.9914163090128756,0.45422535211267606,0.240352163713622,0.9742489270386266,0.48620171673819745,0.1363614186150342,1.0
0.52,0.2522610680570192,0.7962962962962963,0.485673076923077,0.20423348024810584,0.9629629629629628,0.52,0.1404928984592932,0.9629629629629628
