,lsmt,lsmt,catch22,catch22,rocket,rocket
,mean,std,mean,std,mean,std
shift_value,,,,,,
0.5,0.5414,0.1340299966425427,0.1671428571428571,0.1109973340367475,0.4646,0.031190383133267212
0.45,0.6150000000000001,0.06350590523722971,0.07538461538461538,0.053293871002119304,0.42839999999999995,0.03864505142964619
0.4,0.6894,0.088462647484687,0.1176923076923077,0.07972586166201956,0.543,0.05845511098270193
0.35,0.7486,0.09879291472570288,0.16888888888888892,0.12973857855484658,0.4634,0.052558919319179304
0.3,0.5734,0.14823778195858167,0.23687500000000003,0.12225581530135897,0.4376,0.04641379105395292
0.25,0.6451428571428572,0.19062860568687598,0.30066666666666664,0.32721993962607,0.4582,0.08187038536613833
0.2,0.2594594594594595,0.16042083078908165,0.24687500000000004,0.26040158289649473,0.5152000000000001,0.06220096462274521
0.15,0.39580000000000004,0.22218091727238864,0.05727272727272728,0.09449299243771843,0.41,0.17988885457415088
0.1,0.6751515151515151,0.21078671127283968,0.053333333333333344,0.05028805910838963,0.5538636363636363,0.17189076749614338
0.05,0.5572727272727274,0.24497090398994917,0.42399999999999993,0.3135346870762468,0.4211764705882353,0.25788466078829936
0.0,0.21625,0.16255287601269933,0.09777777777777778,0.0865098295992077,0.294,0.21439216403590874
