Dataset,class,model,f1_name,f1,f2_name,f2,f3_name,f3,f4_name,f4,f5_name,f5
EOGHorizontalSignal,7,rocket,0_MFCC_9,-12.92155244951741,0_MFCC_7,-11.537320188127941,0_MFCC_11,-4.371102636279319,0_MFCC_1,3.9631733697165723,0_Wavelet absolute mean_2.78Hz,3.8581841043363534
EOGHorizontalSignal,8,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGHorizontalSignal,8,catch22,0_MFCC_2,2.7736223811310685,0_Median absolute diff,1.6558876940208231,0_MFCC_6,-1.642833863760891,0_MFCC_9,-1.0099754962228065,0_MFCC_8,-0.8720635576214019
EOGHorizontalSignal,8,rocket,0_MFCC_2,67.54209054070299,0_Median absolute diff,2.0613282185540935,0_MFCC_1,1.6198733559859724,0_Histogram mode,-0.8516837540323347,0_MFCC_6,-0.7636941443893481
EOGHorizontalSignal,9,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGHorizontalSignal,9,catch22,0_Median diff,13152846.410898589,0_MFCC_5,-10.129143153189775,0_Median absolute diff,8.101226280102837,0_Kurtosis,-3.172351853536118,0_MFCC_1,1.0591011123717284
EOGHorizontalSignal,9,rocket,0_Median diff,12855445.281782266,0_MFCC_5,-12.69616735201969,0_Median absolute diff,7.867604188482514,0_Kurtosis,-3.7273688997076535,0_MFCC_2,3.67781438013096
EOGVerticalSignal,1,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,1,catch22,0_Spectral roll-on,100000000.0,0_Median absolute diff,11.6337147417006,0_Median diff,-7.139652236410195,0_Spectral variation,2.183568585680971,0_MFCC_3,-1.2659780457836691
EOGVerticalSignal,1,rocket,0_Wavelet absolute mean_8.33Hz,23.967731791663,0_Wavelet absolute mean_12.5Hz,4.357392761705159,0_MFCC_1,4.14526684176862,0_Spectral decrease,-2.969153859514371,0_Wavelet absolute mean_25.0Hz,2.9538345230407383
EOGVerticalSignal,10,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,10,catch22,0_Median absolute diff,3.062138447427021,0_ECDF Percentile_1,2.4729307494337114,0_MFCC_3,-2.1201901826575402,0_MFCC_1,1.232746271244767,0_Kurtosis,-1.008962700874815
EOGVerticalSignal,10,rocket,0_ECDF Percentile_1,24.070365871290257,0_Histogram mode,-3.1387057595979226,0_Median absolute diff,2.864141683583517,0_MFCC_3,-2.607463156429233,0_Kurtosis,-1.6411820490886502
EOGVerticalSignal,11,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,11,catch22,0_Wavelet absolute mean_12.5Hz,6.223082190864226,0_Wavelet absolute mean_8.33Hz,5.538527791852542,0_Wavelet absolute mean_25.0Hz,5.160767554600874,0_Wavelet absolute mean_6.25Hz,4.210682509935221,0_ECDF Percentile_1,3.777771571165141
EOGVerticalSignal,11,rocket,0_Spectral roll-on,123076923.0,0_Wavelet absolute mean_12.5Hz,2.5219072686176127,0_Wavelet absolute mean_8.33Hz,2.264394156699127,0_Wavelet absolute mean_25.0Hz,2.0436792315164873,0_Mean,1.859654717732459
EOGVerticalSignal,12,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGVerticalSignal,12,catch22,0_MFCC_6,-7.661499598967036,0_Median absolute diff,4.438919427870255,0_Kurtosis,1.7921331672522034,0_MFCC_5,-1.178966588571406,0_Spectral decrease,-1.0934349268031553
