LSTM Mean,LSTM Std,LSTM Acc,Catch22 Mean,Catch22 Std,Catch22 Acc,ROCKET Mean,ROCKET Std,ROCKET Acc
0.5343202614379087,0.08988142668902788,0.98943661971831,0.4684399016016662,0.15695518339353107,0.9823943661971832,0.46247058823529413,0.0679955404871064,1.0
0.0,0.0,0.39999999999999997,0.20972222222222223,0.05720057478951524,0.39999999999999997,0.21333333333333335,0.021408720964441883,0.325
0.4836842105263157,0.2171967408833833,0.9,0.4885999999999999,0.1666378425832183,0.8,0.5099999999999999,0.1614477437476871,0.9
0.4179333065706102,0.1859024580884158,0.953,0.28986631016042785,0.0679058224328732,0.952,0.48779231021679753,0.1861582058611882,0.942
0.5099999999999999,0.1299260857892716,1.0,0.47981927710843386,0.1338831625444638,0.9887005649717514,0.51,0.0522679181491227,1.0
0.4979548872180451,0.13321822884893839,0.8226415094339622,0.5516113465160076,0.09113491961858795,0.9169811320754716,0.23032026143790849,0.2242070501700902,0.7849056603773586
0.044428571428571435,0.016268788196659115,0.24827586206896554,0.3200764566323966,0.18237769390658312,0.786206896551724,0.40578158678158677,0.14690613656663928,0.8689655172413794
0.0,0.0,0.1310344827586207,0.2961082964330513,0.15356765921378843,0.6551724137931033,0.34003424066355104,0.13209076665973227,0.786206896551724
0.0,0.0,0.55,0.35,0.23608606034754942,0.55,0.51,0.291242548784037,0.6
0.4468951612903226,0.04215041400553907,0.7454545454545455,0.40082559681697616,0.15944110164088568,0.9818181818181818,0.456173155357805,0.14707835321862375,0.9818181818181818
0.2286397058823529,0.12079811595443937,0.3829787234042553,0.21999999999999997,0.0175,0.2553191489361702,0.2651493506493506,0.17266906316492597,0.4680851063829787
0.0,0.0,0.6219512195121951,0.0,0.0,0.6951219512195121,0.51,0.1380217374184226,0.5975609756097561
0.39558926612483164,0.16434612754217903,0.7161572052401748,0.39528269120013343,0.18600578012311025,0.7685589519650655,0.40418341845307354,0.23195023305870385,0.8253275109170307
0.3399999999999999,0.10376145676163694,0.39024390243902446,0.4818617886178862,0.11745356898018733,1.0,0.41700000000000004,0.05668071402623497,1.0
0.29233333333333333,0.09952534308126726,0.6666666666666666,0.5533333333333333,0.0,0.5,0.0,0.0,0.1666666666666666
0.49863636363636366,0.1694479446737545,0.9914163090128756,0.47000000000000003,0.1951106255079115,0.9699570815450644,0.47916309012875535,0.13380722657950986,1.0
0.51,0.2287707863000865,0.7777777777777778,0.4528846153846154,0.2051428615983642,0.9444444444444444,0.5100000000000001,0.1256778621270869,0.9444444444444444
